,Year,Park Name,Spending,Visitation,temp_avg,precip_sum,visibility,uvindex,severerisk,acres,count,dmr,light_pollution_ratio
319,2022,Glacier Bay,5406,2908458.0,43.10438356164384,46.467,8.903561643835618,3.2986301369863016,10.112359550561798,,,,
320,2023,Glacier Bay,5406,,43.96410958904109,72.972,8.701917808219177,3.112328767123288,10.10958904109589,,,27516175.0,
321,2024,Glacier Bay,5954,,,,,,,,,,
322,2011,Grand Canyon,23076,4298178.0,46.06520547945205,13.332,9.612328767123287,7.961643835616439,,4599.700000000001,23.0,,
323,2012,Grand Canyon,23076,4421352.0,47.62650273224043,7.974,9.664480874,7.860655737704918,,43.6,22.0,,
324,2013,Grand Canyon,21363,4564840.0,46.123561643835615,12.411,9.669315068493152,7.838356164383562,,252.9,27.0,,
325,2014,Grand Canyon,21363,4756771.0,48.22054794520548,7.95,9.646575342465754,7.791780821917809,,6427.4,27.0,,
326,2015,Grand Canyon,21148,5520736.0,48.201369863013696,18.331,9.599178082,7.690410959,,2.6,15.0,371589415.2,
327,2016,Grand Canyon,21486,5969811.0,49.26475409836066,15.223,9.588251366120218,7.7650273224043715,,15095.1,19.0,353354523.8,
328,2017,Grand Canyon,21733,6254238.0,49.04027397260274,11.637,9.536712328767123,7.81917808219178,,0.3,3.0,329437053.8,
329,2018,Grand Canyon,21546,6380495.0,48.72547945205479,11.531,9.529863014,7.504109589041096,,11841.7,28.0,313866912.6,
330,2019,Grand Canyon,21654,5974411.0,46.65917808219178,15.722,9.495068493150686,7.282191780821917,,16488.5,17.0,314444838.6,
331,2020,Grand Canyon,21798,2897098.0,48.35737704918033,5.914,9.743715846994537,7.7650273224043715,,8364.18,11.0,,
332,2021,Grand Canyon,22446,4532677.0,48.411232876712326,11.295,9.592602739726027,7.249315068493151,,5.02,14.0,,
333,2022,Grand Canyon,23027,4732101.0,47.50054794520548,15.933,9.629315068,6.986301369863014,12.963483146067416,1489.9499999999998,20.0,,
334,2023,Grand Canyon,23027,,47.613150684931504,13.951,9.476986301369864,6.723287671232876,10.0,121.08,17.0,829025955.0,
335,2024,Grand Canyon,24753,,,,,,,,,,
336,2011,Grand Teton,13733,2587437.0,36.74246575342466,6.541,9.105479452054794,6.693150684931507,,0.7000000000000001,7.0,,
337,2012,Grand Teton,13733,2705256.0,40.32650273224044,7.429,9.094535519125683,6.759562841530054,,2.6,11.0,,
338,2013,Grand Teton,12630,2688794.0,37.7027397260274,6.506,9.220547945,6.690410959,,243.1,8.0,,
339,2014,Grand Teton,12630,2791392.0,38.850136986301365,13.03,11.40082191780822,6.632876712328767,,0.5,3.0,,
340,2015,Grand Teton,12275,3149921.0,39.98931506849315,17.548000000000002,9.244657534246576,6.526027397260274,,7.3,4.0,207816744.3,
341,2016,Grand Teton,12369,3270076.0,39.85245901639344,16.682,9.320218579234972,6.756830601092896,,20829.5,17.0,190800484.5,
342,2017,Grand Teton,12561,3317000.0,39.45753424657534,14.123,9.293150684931506,6.542465753424658,,,,178630524.7,
343,2018,Grand Teton,12537,3491151.0,39.16027397260274,14.29,9.275342465753424,6.301369863013699,,3.8,4.0,181005620.9,
344,2019,Grand Teton,12599,3405614.0,36.93150684931507,15.055,9.191506849315068,6.2465753424657535,,0.7000000000000001,7.0,166881527.1,
345,2020,Grand Teton,12678,3289638.0,38.200819672131146,13.614,9.116393443,6.437158469945355,,0.8,8.0,,
346,2021,Grand Teton,12985,3885230.0,40.2854794520548,12.029,9.120547945,6.427397260273972,,0.7000000000000001,6.0,,
347,2022,Grand Teton,13398,2806223.0,37.07835616438357,7.405,9.181643836,6.424657534246576,12.682584269662922,0.5,5.0,,
348,2023,Grand Teton,13398,,37.61753424657534,6.072,9.233698630136988,6.235616438356164,10.438356164383562,0.2,2.0,180094978.0,
349,2024,Grand Teton,14396,,,,,,,,,,
350,2011,Great Basin,2861,91451.0,47.03397260273973,12.768,9.695616438356163,7.509589041,,,,,
351,2012,Great Basin,2861,94850.0,50.50901639344262,11.914,9.722677595628417,7.540983606557377,,0.2,2.0,,
352,2013,Great Basin,2757,92893.0,47.602739726027394,7.893,9.714520547945206,7.457534246575342,,0.5,3.0,,
353,2014,Great Basin,2757,107526.0,50.39369863013699,8.598,9.778630136986305,7.463013698630137,,0.1,1.0,,
354,2015,Great Basin,2779,116123.0,50.66712328767123,9.828,9.698626373626372,7.213698630136986,,0.2,2.0,16942598.92,
355,2016,Great Basin,2744,144846.0,50.30792349726776,10.142,9.635068493150683,7.448087431693989,,4656.0,1.0,16945076.24,
356,2017,Great Basin,2799,168028.0,50.352876712328765,10.639,9.724571428571428,7.517808219178082,,0.2,2.0,17450741.12,
357,2018,Great Basin,2794,153094.0,49.984931506849314,7.541,9.754647887323944,4.073972602739726,,0.1,1.0,14925849.45,
358,2019,Great Basin,2809,131802.0,47.28493150684932,13.829,9.656160458452725,5.383561643835616,,0.2,2.0,17867376.71,
359,2020,Great Basin,2830,120248.0,50.73278689,5.363,9.743989071038252,7.975409836065574,,0.3,2.0,,
360,2021,Great Basin,2882,144875.0,50.53643835616438,8.268,9.557938718662951,7.70958904109589,,,,,
361,2022,Great Basin,2904,142115.0,49.13123287671233,7.866,9.86164383561644,7.756164383561644,10.224719101123595,0.1,1.0,,
362,2023,Great Basin,2904,,47.56849315068493,11.496,9.600547945,7.605479452054794,10.0,,,23094383.0,
363,2024,Great Basin,3099,,,,,,,,,,
364,2011,Great Sand Dunes,2366,280058.0,42.726301369863016,4.385,9.65780821917808,7.778082191780822,,,,,
365,2012,Great Sand Dunes,2366,254674.0,43.88333333333333,5.24,9.699453551912567,7.795081967213115,,,,,0.16
366,2013,Great Sand Dunes,2286,242841.0,39.744109589041095,8.458,9.403835616438355,7.70958904109589,,,,,
367,2014,Great Sand Dunes,2286,271774.0,42.76438356164383,4.75,9.596438356164384,7.632876712328767,,,,,
368,2015,Great Sand Dunes,2263,299513.0,43.86904109589041,9.532,9.550410959,7.495890410958904,,,,8032789.254,
369,2016,Great Sand Dunes,2304,388308.0,43.168306010928966,6.892,9.578961749,7.672131147540983,,,,8868083.684,
370,2017,Great Sand Dunes,2344,486935.0,44.67972602739726,9.397,9.637808219178083,7.734246575342466,,,,10396934.13,
371,2018,Great Sand Dunes,2340,442905.0,44.68383561643836,3.98,9.704931506849316,7.673972602739726,,,,8069390.129,
372,2019,Great Sand Dunes,2352,527546.0,41.148493150684935,7.044,9.550410959,7.460273973,,,,8437838.129,
373,2020,Great Sand Dunes,2373,461532.0,44.07404372,5.197,9.643715846994535,7.710382513661202,,,,,
374,2021,Great Sand Dunes,2403,602613.0,43.60767123287671,5.993,9.540273973,7.630136986,,,,,
375,2022,Great Sand Dunes,2760,493428.0,42.08328767123288,9.314,9.484931506849316,7.608219178082192,13.497191011235955,,,,
376,2023,Great Sand Dunes,2760,,42.78054794520548,4.666,9.471232876712328,7.561643835616438,10.123287671232877,,,8930666.0,
377,2024,Great Sand Dunes,2946,,,,,,,,,,
378,2011,Great Smoky Mountains,20341,9008830.0,57.68520547945205,40.624,8.611780821917808,7.038356164383561,,77.9,3.0,,
379,2012,Great Smoky Mountains,19637,9685829.0,58.03688524590164,39.998,8.680054644808743,6.907103825136612,,100.0,3.0,,
380,2013,Great Smoky Mountains,19023,9354695.0,55.58027397260274,42.86,8.566027397260275,6.726027397260274,,10.2,3.0,,
381,2014,Great Smoky Mountains,19023,10099276.0,55.05726027397261,39.597,8.835342465753424,6.969863014,,,,,
382,2015,Great Smoky Mountains,18834,10712674.0,57.59424657534247,43.919,8.819178082191781,6.734246575342466,,,,232283727.4,
383,2016,Great Smoky Mountains,19111,11312786.0,59.50136612021858,34.574,9.065846995,7.226775956284153,,240.2,3.0,211192042.0,
384,2017,Great Smoky Mountains,19426,11338893.0,59.20767123287671,35.784,8.990136986301371,6.989041095890411,,,,215451902.1,
385,2018,Great Smoky Mountains,19377,11421200.0,58.31589041,54.415,8.92,5.747945205479452,,,,235895972.7,
386,2019,Great Smoky Mountains,19472,12547743.0,59.42465753424658,47.403,9.008219178082191,6.123287671232877,,0.1,1.0,202014159.4,
387,2020,Great Smoky Mountains,19616,12095720.0,57.90901639344263,47.514,8.845628415300547,5.931693989071039,,,,,
388,2021,Great Smoky Mountains,20228,14161548.0,57.95753424657534,41.774,8.946575342465753,6.008219178082192,,0.2,2.0,,
389,2022,Great Smoky Mountains,20664,12937633.0,57.43369863013699,40.846,9.072328767123288,6.421917808219178,19.49438202247191,0.2,2.0,,
390,2023,Great Smoky Mountains,20664,,58.474794520547945,38.603,8.939178082,6.383561643835616,13.178082191780822,6.44,4.0,301341925.0,
391,2024,Great Smoky Mountains,22124,,,,,,,,,,
392,2011,Guadalupe Mountains,3017,152546.0,62.03260273972603,4.555,8.958791208791208,8.375342465753425,,,,,
393,2012,Guadalupe Mountains,3017,159360.0,62.12459016393442,8.067,9.032513661202186,8.188524590163935,,,,,
394,2013,Guadalupe Mountains,2915,145670.0,59.67589041095891,14.985,8.440821918,8.084931506849315,,,,,
395,2014,Guadalupe Mountains,2915,166868.0,60.03890410958904,12.738,8.848333333333333,8.016438356164384,,,,,
396,2015,Guadalupe Mountains,2886,169535.0,60.00547945205479,15.436,9.082044198895028,7.956164383561644,,,,5533476.34,
397,2016,Guadalupe Mountains,2901,181839.0,61.39863387978142,13.039,9.429589041095891,8.010928961748634,,,,5503664.412,
398,2017,Guadalupe Mountains,2937,225257.0,62.377808219178085,12.62,9.347671232876712,8.04109589,,,,6411208.105,
399,2018,Guadalupe Mountains,2931,172347.0,61.80273973,6.715,9.257260273972603,7.117808219178082,,,,5865024.421,
400,2019,Guadalupe Mountains,2945,188833.0,60.66986301369863,5.5,9.294794520547946,7.964383561643835,,,,7940150.057,
401,2020,Guadalupe Mountains,2967,151256.0,61.32486338797815,5.345,8.990710382513662,8.112021857923498,,,,,
402,2021,Guadalupe Mountains,3026,243291.0,61.21589041,16.134999999999998,8.734269663,8.115068493150686,,,,,
403,2022,Guadalupe Mountains,3128,219987.0,60.90739726027397,10.884,8.659726027,8.046575342465754,14.25561797752809,,,,
404,2023,Guadalupe Mountains,3128,,63.87890410958904,7.02,8.585753424657534,8.227397260273973,11.547945205479452,,,48522419.0,
405,2024,Guadalupe Mountains,3347,,,,,,,,,,
406,2011,Haleakala,5329,956989.0,74.97616438356164,11.23,10.042191780821918,8.131506849315068,,0.1,1.0,,
