UNIT_CODE,UNIT_NAME,UNIT_TYPE,STATE,Abandoned Wells within 30 miles,active_wells_in_parks,at_risk
SITK,Sitka National Historical Park,National Historical Park,AK,0,,
ANIA,Aniakchak National Monument,National Monument,AK,0,,
CAKR,Cape Krusenstern National Monument,National Monument,AK,0,,
GAAR,Gates of the Arctic National Park,National Park,AK,0,0,0
KATM,Katmai National Preserve,National Preserve,AK,0,,
KOVA,Kobuk Valley National Park,National Park,AK,0,0,0
GAAR,Gates of the Arctic National Preserve,National Preserve,AK,0,,
ANIA,Aniakchak National Preserve,National Preserve,AK,0,,
YUCH,Yukon-Charley Rivers National Preserve,National Preserve,AK,0,,
LACL,Lake Clark National Park,National Park,AK,0,0,0
KLGO,Klondike Gold Rush National Historical Park,National Historical Park,AK,0,,
ROCR,Rock Creek Park,Other Designation,DC,0,,
MANA,Manassas National Battlefield Park,National Battlefield Park,VA,0,,
KAHO,Kaloko-Honokohau National Historical Park,National Historical Park,HI,0,,
JOTR,Joshua Tree National Park,National Park,CA,6,0,0
IATR,Ice Age National Scenic Trail,National Scenic Trail,WI,0,,
HEHO,Herbert Hoover National Historic Site,National Historic Site,IA,0,,
FOSC,Fort Scott National Historic Site,National Historic Site,KS,1189,,
EVER,Everglades National Park,National Park,FL,8,0,1
COLO,Colonial National Historical Park,National Historical Park,VA,0,,
HOCU,Hopewell Culture National Historical Park,National Historical Park,OH,3,,
BADL,Badlands National Park,National Park,SD,0,0,0
AMIS,Amistad National Recreation Area,National Recreation Area,TX,2,,
EFMO,Effigy Mounds National Monument,National Monument,IA,0,,
NIOB,Niobrara National Scenic River,National Scenic River,NE,25,,
PERI,Pea Ridge National Military Park,National Military Park,AR,33,,
PEFO,Petrified Forest National Park,National Park,AZ,2,0,0
WIHO,William Howard Taft National Historic Site,National Historic Site,OH,2,,
TULE,Tule Lake National Monument,National Monument,CA,0,,
PERL,Pearl Harbor National Memorial,National Memorial,HI,0,,
MUWO,Muir Woods National Monument,National Monument,CA,0,,
BICY,Big Cypress National Preserve,National Preserve,FL,14,,
ALFL,Alibates Flint Quarries National Monument,National Monument,TX,251,,
LAMR,Lake Meredith National Recreation Area,National Recreation Area,TX,377,,
VIIS,Virgin Islands National Park,National Park,VI,0,0,0
JOMU,John Muir National Historic Site,National Historic Site,CA,32,,
CALO,Cape Lookout National Seashore,National Seashore,NC,0,,
OLYM,Olympic National Park,National Park,WA,0,0,0
POPO,Poverty Point National Monument,National Monument,LA,80,,
